anime,votes,votes_weight,genres,rate_1_stars,rate_1_stars,rate_2_stars,rate_3_stars,rate_4_stars,rate_5_stars,rate
Comet Lucifer,52,149,fantasy,7,7,18,12,5,10,2.87
Chance Pop Session,243,1140,drama,4,4,2,10,33,194,4.69
The Severing Crime Edge,46,195,"action,romance,seinen",0,0,2,9,11,24,4.24
Gatchaman Crowds,99,411,"action,sci-fi",5,5,7,13,17,57,4.15
Sakura Quest,61,281,,0,0,2,5,8,46,4.61
Rokka no Yuusha,417,1632,"action,adventure,thriller,fantasy,mystery",31,31,45,52,90,199,3.91
Blood Blockade Battlefront,83,383,"action,supernatural,sci-fi,drama",2,2,3,3,9,66,4.61
DRAGON COLLECTION,10,40,"fantasy,action,adventure",1,1,1,1,1,6,4.0
LUPIN THE 3rd PART 5,17,83,"action,adventure,seinen,mystery",0,0,0,0,2,15,4.88
Katana Maidens ~ Mini Toji,1,5,"action,comedy",0,0,0,0,0,1,5.0
HENNEKO – The Hentai Prince and the Stony Cat -,106,486,"drama,romance,supernatural",1,1,3,7,17,78,4.58
Why Did You Come to Japan?,10,50,,0,0,0,0,0,10,5.0
Dallos,6,20,"sci-fi,drama",1,1,1,0,3,1,3.33
Chain Chronicle - The Light of Haecceitas -,63,213,"adventure,fantasy,action",12,12,7,10,13,21,3.38
Lily C.A.T,5,18,sci-fi,1,1,0,1,1,2,3.6
Unriddle,5,20,"sgdrama,action,thriller",1,1,0,0,1,3,4.0
Accel World,5,25,sci-fi,0,0,0,0,0,5,5.0
Uta no Prince Sama,166,734,"music,romance,drama,harem",2,2,11,16,23,114,4.42
Butlers X Battlers,12,39,"action,supernatural",1,1,3,4,0,4,3.25
GLASSLIP,155,439,"drama,romance,slice of life",29,29,48,28,20,30,2.83
Kyousougiga,80,382,"fantasy,action,sci-fi,slice of life,supernatural",0,0,1,3,9,67,4.78
Restaurant to Another World,174,781,"seinen,fantasy,slice of life,drama,isekai",7,7,6,10,23,128,4.49
The Moment You Fall in Love,23,94,"romance,drama,slice of life",2,2,2,1,5,13,4.09
Fist of the North Star: The Movie,6,22,"action,adventure,shonen,sci-fi,post-apocalyptic",2,2,0,0,0,4,3.67
Cromartie High School,11,52,"comedy,shonen",0,0,0,1,1,9,4.73
Little Nemo: Adventures in Slumberland,28,131,"adventure,fantasy",0,0,1,1,4,22,4.68
FLCL,18,66,"comedy,action,drama,sci-fi,mecha",1,1,3,4,3,7,3.67
Orenchi no Furo Jijo,86,374,"comedy,fantasy,romance,slice of life,shojo",1,1,5,6,25,49,4.35
PEACE MAKER KUROGANE,2,6,"action,historical,adventure,shonen",1,1,0,0,0,1,3.0
Girls Beyond the Wasteland,5,23,"romance,slice of life",0,0,0,0,2,3,4.6
GJ CLUB,55,238,"comedy,slice of life,harem",1,1,1,10,10,33,4.33
5 Centímetros por Segundo,1518,7346,"romance,drama",18,18,7,27,97,1369,4.84
KADO: The Right Answer,104,400,"seinen,sci-fi,drama",7,7,15,14,19,49,3.85
Earl and Fairy,7,26,"adventure,drama,romance,historical,harem",1,1,0,2,1,3,3.71
Recorder and Randsell,392,1691,"comedy,slice of life",16,16,21,33,76,246,4.31
Osomatsu-kun,0,0,"comedy,slice of life,shonen",0,0,0,0,0,0,0.0
Lupin the Third Part 3,3,14,"action,adventure,seinen,mystery",0,0,0,0,1,2,4.67
Steins;Gate 0,81,375,"drama,sci-fi,thriller,post-apocalyptic,mystery",3,3,3,4,1,70,4.63
Phoenix Motion Magazine,21,81,,5,5,0,1,2,13,3.86
MEGALOBOX,242,1160,"sports,drama,sci-fi",3,3,2,8,16,213,4.79
My Bride is a Mermaid,19,91,,0,0,1,0,1,17,4.79
"You're Being Summoned, Azazel",8,34,"comedy,supernatural,fantasy",1,1,0,0,2,5,4.25
Conception,97,225,"fantasy,action,romance,sci-fi,drama,adventure",51,51,12,6,8,20,2.32
High School Prodigies Have It Easy Even In Another World,188,596,"isekai,fantasy,adventure,action",52,52,19,24,31,62,3.17
Zettai Boei Leviatan,29,102,"adventure,fantasy,slice of life,comedy,action",1,1,8,4,7,9,3.52
"Problem Children are Coming from Another World, aren't they?",165,759,"fantasy,action,comedy,isekai",1,1,3,15,23,123,4.6
"RErideD - Derrida, who leaps through time",38,113,"action,seinen,sci-fi,drama,post-apocalyptic",4,4,8,14,9,3,2.97
"Wake Up, Girls!",47,200,"drama,music,slice of life,idols",4,4,1,3,10,29,4.26
PES: Peace Eco Smile,11,33,,3,3,2,1,2,3,3.0
Ultraman Ginga,5,17,,1,1,0,2,0,2,3.4
Shinobi Girl: The Movie,2,4,,1,1,0,1,0,0,2.0
She and Her Cat -Everything Flows-,76,355,"drama,seinen,slice of life,fantasy",1,1,1,4,10,60,4.67
Mazinkaiser SKL,8,33,"shonen,adventure,action,sci-fi,mecha",0,0,1,1,2,4,4.12
Full Metal Panic!,26,124,"action,comedy,drama,sci-fi,mecha",0,0,0,1,4,21,4.77
VOICE OF FOX,19,78,"music,drama,slice of life",0,0,2,4,3,10,4.11
GoShogun,1,5,"action,sci-fi,mecha",0,0,0,0,0,1,5.0
Black Bullet,319,1310,"action,sci-fi,mystery,post-apocalyptic",17,17,19,41,78,164,4.11
Un-Go,491,2289,"mystery,sci-fi",5,5,7,21,83,375,4.66
Jingai-san no Yome,78,268,"romance,slice of life,comedy",12,12,16,9,8,33,3.44
Chaika –The Coffin Princess-,103,442,"action,adventure,fantasy,supernatural",1,1,3,14,32,53,4.29
Cheating Craft,28,84,"comedy,action",4,4,9,5,3,7,3.0
Katana Maidens ~ Toji No Miko,41,165,"action,supernatural,fantasy",0,0,5,7,11,18,4.02
The World is Still Beautiful,171,795,"fantasy,romance,adventure,shojo",3,3,4,9,18,137,4.65
Anime Academy,14,37,,8,8,0,0,1,5,2.64
Dr. STONE,513,2386,"action,sci-fi,adventure,shonen,post-apocalyptic,comedy,drama",15,15,11,29,28,430,4.65
Elemental Gelade,4,20,"fantasy,adventure,comedy,romance",0,0,0,0,0,4,5.0
Cardfight!! Vanguard G,14,48,"action,drama,comedy",3,3,1,3,1,6,3.43
Meiji Tokyo Renka,32,136,"supernatural,drama,historical,isekai",2,2,1,2,9,18,4.25
Cute High Earth Defense Club LOVE!,105,457,"comedy,slice of life",3,3,5,8,25,64,4.35
Silver Spoon,135,663,"comedy,slice of life,shonen,romance",0,0,0,1,10,124,4.91
Go Lion,92,428,"action,adventure,mecha,sci-fi",1,1,1,4,17,69,4.65
URAHARA,33,112,"comedy,adventure,action,slice of life,sci-fi",6,6,4,4,9,10,3.39
Tiger Mask W,15,70,"sports,shonen,action,drama",0,0,0,0,5,10,4.67
Group Watch,7,35,,0,0,0,0,0,7,5.0
Nobunaga the Fool,75,249,"action,sci-fi,mecha",12,12,13,10,19,21,3.32
Mahou Shoujo Nante Mouiidesukara,19,64,"fantasy,comedy",2,2,3,6,2,6,3.37
KOWABON,8,34,,0,0,0,2,2,4,4.25
Magical Girl Raising Project,143,515,"action,seinen,fantasy,drama",20,20,14,21,36,52,3.6
Ristorante Paradiso,846,3909,"romance,slice of life,drama",20,20,2,43,149,632,4.62
Desperate Motherhood,7,35,,0,0,0,0,0,7,5.0
ERASED,797,3871,"mystery,thriller,drama",8,8,6,7,50,726,4.86
Ultraman Geed,8,39,"action,sci-fi,fantasy,mecha",0,0,0,0,1,7,4.88
Street Fighter II The Animated Movie,5,24,action,0,0,0,0,1,4,4.8
Gunslinger Stratos THE ANIMATION,30,103,"action,sci-fi",3,3,6,5,7,9,3.43
AHO-GIRL,107,454,"comedy,slice of life",6,6,6,9,21,65,4.24
Soul Hunter,1,4,"shonen,action,adventure,fantasy,sci-fi",0,0,0,0,1,0,4.0
TO BE HERO,38,172,"comedy,action,supernatural,fantasy",1,1,0,2,10,25,4.53
TRINITY SEVEN,199,845,"action,supernatural,fantasy,romance,comedy,harem,shonen",9,9,10,22,40,118,4.25
Digimon Adventure tri.,188,812,"adventure,sci-fi,drama",10,10,13,13,23,129,4.32
Space Battleship Tiramisu,13,60,"comedy,sci-fi,slice of life,mecha,seinen",0,0,0,2,1,10,4.62
K: Seven Stories,0,0,,0,0,0,0,0,0,0.0
Mob Psycho 100,500,2408,"action,fantasy,comedy,supernatural",4,4,6,7,44,439,4.82
Majestic Prince,87,354,"sci-fi,action,mecha",5,5,6,11,21,44,4.07
Fan Service,35,146,,6,6,1,1,0,27,4.17
Orange,251,1142,"romance,drama,shojo,supernatural",7,7,6,14,39,185,4.55
Anime-Gataris,21,87,"comedy,slice of life",2,2,1,2,3,13,4.14
Convenience Store Boy Friends,46,163,"romance,slice of life",4,4,5,13,10,14,3.54
W'z,4,17,"action,adventure,supernatural",0,0,0,0,3,1,4.25
DAYS,56,242,"sports,drama",2,2,1,8,11,34,4.32
Vampire Knight,3,11,"shojo,supernatural",0,0,1,0,1,1,3.67
ReLIFE,464,2251,"seinen,drama,slice of life,romance",1,1,3,8,40,412,4.85
Toradora!,689,3321,"romance,comedy,drama,slice of life",5,5,5,12,65,602,4.82
One Piece,1139,5349,"action,adventure,shonen,fantasy",42,42,15,35,63,984,4.7
Martian Successor Nadesico,7,35,"comedy,sci-fi,mecha",0,0,0,0,0,7,5.0
Digimon Xros Wars - The Young Hunters Who Leapt Through Time,111,515,,1,1,4,5,14,87,4.64
Owarimonogatari,43,204,"comedy,supernatural,drama,action,harem,fantasy,thriller",1,1,1,1,2,38,4.74
SKET Dance,1364,6513,"comedy,slice of life,shonen",11,11,8,33,173,1139,4.77
Magic Kaito 1412,39,181,"adventure,romance,shonen",1,1,0,3,4,31,4.64
Fullmetal Alchemist: Brotherhood,318,1567,"action,adventure,fantasy,drama,shonen,thriller",1,1,0,2,15,300,4.93
School Babysitters,86,413,"comedy,slice of life,drama,shojo",1,1,1,2,6,76,4.8
Champion Joe 2,17,81,"sports,action,drama",0,0,1,0,1,15,4.76
Galaxy Express 999,363,1705,,12,12,2,9,38,302,4.7
A Town Where You Live,18,71,"drama,romance,shonen",1,1,2,3,3,9,3.94
Os Cavaleiros do Zodíaco - Saintia Sho,82,310,"action,fantasy,sci-fi,shonen",16,16,1,11,11,43,3.78
Strange+,30,105,"thriller,mystery,drama",5,5,4,3,7,11,3.5
Shin Koihime Musou - Otome Tairan,493,2352,action,2,2,6,17,53,415,4.77
Nyanbo!,12,49,"sci-fi,comedy",0,0,1,1,6,4,4.08
Space Pirate Mito,4,17,"action,comedy,sci-fi,adventure",0,0,0,1,1,2,4.25
Monster Hunter Stories Ride On,18,57,"fantasy,adventure",5,5,2,2,3,6,3.17
Tsuredure Children,131,604,"slice of life,comedy,romance,drama,shonen",1,1,2,4,33,91,4.61
THE [email protected] CINDERELLA GIRLS,5,22,"slice of life,music,idols",0,0,0,1,1,3,4.4
VIRTUALSAN - LOOKING,16,50,comedy,4,4,3,1,3,5,3.12
Yuuna and the Haunted Hot Springs,37,144,"comedy,supernatural,shonen,harem",3,3,2,7,9,16,3.89
Bokurano,23,96,"sci-fi,drama,mecha",2,2,2,1,3,15,4.17
NANBAKA,101,448,"comedy,slice of life",4,4,4,5,19,69,4.44
Road To Ninja -Naruto the Movie,1,5,shonen,0,0,0,0,0,1,5.0
Day Break Illusion,37,154,"magical girls,fantasy,action",3,3,1,4,8,21,4.16
Milpom,12,32,comedy,4,4,1,3,3,1,2.67
Steel Fisted Dragon,1,5,"action,martial arts",0,0,0,0,0,1,5.0
Love Tyrant,117,449,"fantasy,romance,comedy,supernatural,harem",11,11,11,17,25,53,3.84
Fate/stay night [Unlimited Blade Works],299,1349,"action,fantasy,supernatural,drama",11,11,9,19,37,223,4.51
The Tenth Prism (Motion Manga),2,8,"fantasy,adventure,action,drama",0,0,0,1,0,1,4.0
Haven’t You Heard? I’m Sakamoto,145,663,"comedy,slice of life,seinen",3,3,4,7,24,107,4.57
Akagi,40,187,"thriller,drama",1,1,0,2,5,32,4.68
Mangirl!,17,57,"comedy,shonen",0,0,2,8,6,1,3.35
Liar Game,23,105,,0,0,2,1,2,18,4.57
Ghost Stories,48,228,"comedy,supernatural",0,0,1,2,5,40,4.75
Ninja Nonsense,4,16,"comedy,slice of life,action",0,0,0,0,4,0,4.0
Z/X IGNITION,16,64,"fantasy,shonen,adventure,action",0,0,1,4,5,6,4.0
Charlotte,378,1706,"comedy,drama,romance",12,12,11,23,57,275,4.51
Sound! Euphonium,141,655,"romance,drama,music,slice of life",2,2,1,5,29,104,4.65
ClassicaLoid,11,43,"sci-fi,music,comedy",1,1,1,2,1,6,3.91
Nekomonogatari Black,6,26,"comedy,supernatural,drama,action,harem,fantasy,thriller",1,1,0,0,0,5,4.33
Squid Girl,1319,6223,"supernatural,comedy",10,10,11,43,213,1042,4.72
Inuyasha the Movie 2: The Castle Beyond the Looking Glass,0,0,"action,adventure,romance,fantasy",0,0,0,0,0,0,0.0
07 Ghost,1400,6688,fantasy,9,9,14,27,180,1170,4.78
Mobile Suit Gundam Wing,30,117,"mecha,sci-fi,action",1,1,4,5,7,13,3.9
Galilei Donna,32,109,"mystery,adventure,action,drama,sci-fi",1,1,6,11,7,7,3.41
Gonna Be the Twin-Tail!!,21,76,"action,comedy,romance,sci-fi",3,3,3,1,6,8,3.62
BLEND-S,144,652,"comedy,slice of life",1,1,2,18,22,101,4.53
BTOOOM!,191,839,"action,seinen,sci-fi,drama,mystery",6,6,4,16,48,117,4.39
Hakuoki Reimeiroku,37,160,,2,2,0,5,7,23,4.32
Hakuoki Season 1,34,142,,1,1,2,4,10,17,4.18
Isekai Cheat Magician,446,952,"fantasy,adventure,isekai",237,237,66,52,28,63,2.13
JOKER GAME,67,292,"seinen,action,drama,historical,thriller,mystery",1,1,2,6,21,37,4.36
The Comic Artist and His Assistants,76,329,"comedy,slice of life,seinen,harem",0,0,2,9,27,38,4.33
Wagamama High Spec,16,42,"comedy,slice of life",3,3,4,5,4,0,2.62
Undefeated Bahamut Chronicle,4,18,,0,0,0,0,2,2,4.5
UzaMaid!,46,176,"comedy,slice of life,seinen",5,5,5,4,11,21,3.83
Mobile Suit Gundam Wing - Endless Waltz,7,33,"mecha,action,sci-fi",0,0,0,1,0,6,4.71
Nazotokine,7,11,"sci-fi,comedy,drama,isekai",4,4,2,1,0,0,1.57
Durarara!!,4042,19606,,13,13,9,53,419,3548,4.85
Black Clover (Dublagens Internacionais),23,113,"action,fantasy,shonen,adventure,comedy",0,0,0,1,0,22,4.91
Natsume Yuujinchou 5,30,147,"supernatural,drama,adventure,slice of life",0,0,0,1,1,28,4.9
Yurikuma Arashi,14,66,"romance,drama,seinen,fantasy,comedy,supernatural",0,0,0,1,2,11,4.71
Full Metal Panic! The Second Raid,4,20,"action,drama,sci-fi,mecha",0,0,0,0,0,4,5.0
BORUTO: NARUTO NEXT GENERATIONS,892,2860,"fantasy,adventure,action,shonen",237,237,127,80,111,337,3.21
Natsume Yuujinchou 4,385,1891,"fantasy,slice of life,drama",1,1,1,2,23,358,4.91
Occultic;Nine,62,228,"supernatural,sci-fi,thriller",7,7,9,9,9,28,3.68
Your lie in April,1013,4909,"drama,romance,shonen,music",8,8,7,25,53,920,4.85
Yu-Gi-Oh! ZEXAL,16,64,"shonen,sci-fi,action,fantasy,supernatural",2,2,1,2,1,10,4.0
Ninja Girl & Samurai Master,15,70,"comedy,adventure,historical,action",0,0,0,0,5,10,4.67
Children of Ether,33,136,"action,seinen,adventure",2,2,2,3,9,17,4.12
Netsuzou Trap -NTR-,67,204,"romance,drama,slice of life,shojo",23,23,5,7,10,22,3.04
Momo Kyun Sword,32,106,"fantasy,action,adventure",5,5,4,6,10,7,3.31
Chio's School Road,34,163,"comedy,slice of life",0,0,0,2,3,29,4.79
Saekano -How to Raise a Boring Girlfriend-,119,513,"romance,comedy,drama,slice of life,harem",3,3,7,8,33,68,4.31
Thermae Romae,7,30,"comedy,slice of life,historical,seinen,isekai",0,0,1,0,2,4,4.29
"Actually, I Am",80,336,"comedy,romance,supernatural",3,3,4,10,20,43,4.2
The Perfect Insider (Drama),4,19,,0,0,0,0,1,3,4.75
Cosmo Warrior Zero,1,1,"sci-fi,action,adventure",1,1,0,0,0,0,1.0
Nobunaga Concerto,84,402,"comedy,romance,adventure,shonen,historical",1,1,1,1,9,72,4.79
Inu X Boku Secret Service,1473,6991,,11,11,13,55,181,1213,4.75
Mushi-Uta,679,3213,"fantasy,action,supernatural",10,10,6,26,72,565,4.73
Aachi & Ssipak,3,9,"action,comedy,sci-fi",1,1,0,0,2,0,3.0
Today's Menu for the Emiya Family,36,174,"slice of life,seinen",0,0,0,0,6,30,4.83
Yonna in the Solitary Fortress,245,939,"adventure,fantasy",27,27,11,50,45,112,3.83
Miracle Train,873,4014,romance,20,20,15,47,132,659,4.6
Wakakozake (Drama),27,127,food,1,1,0,0,4,22,4.7
A Sister's All You Need.,122,526,"drama,slice of life,comedy,romance,harem",10,10,2,5,28,77,4.31
La corda d’oro -Blue Sky-,30,97,"romance,supernatural,shojo,music,harem",4,4,9,3,4,10,3.23
The Legend of Black Heaven,4,17,"music,sci-fi,adventure,action",0,0,0,0,3,1,4.25
World Break: Aria of Curse for a Holy Swordsman,125,438,"romance,action,fantasy,harem,seinen",15,15,18,25,23,44,3.5
The Melody of Oblivion,241,1020,"romance,supernatural,mecha",17,17,8,20,53,143,4.23
Natsume Yuujinchou,5158,25208,"drama,fantasy,slice of life",24,24,7,58,349,4720,4.89
This Boy Suffers from Crystallization,12,38,"fantasy,romance,drama",1,1,3,4,1,3,3.17
Pastel Memories,7,19,"comedy,slice of life,sci-fi",2,2,2,1,0,2,2.71
HAIKYU!!,525,2608,"sports,slice of life,shonen",0,0,0,0,17,508,4.97
Wizard Barristers,55,182,"action,supernatural,fantasy,thriller",5,5,10,16,11,13,3.31
8 Man After,1,1,"action,sci-fi,shonen",1,1,0,0,0,0,1.0
B-PROJECT,27,88,"romance,idols",5,5,3,7,4,8,3.26
Twin Angels BREAK,8,29,"drama,action,supernatural,shonen,magical girls",1,1,0,2,3,2,3.62
Fullmetal Alchemist: The Conqueror of Shamballa,15,54,"action,adventure,fantasy,drama,shonen",3,3,1,1,4,6,3.6
Fruits Basket,161,790,"drama,shojo,comedy,slice of life,supernatural",0,0,0,3,9,149,4.91
Kuroko's Basketball,665,3207,sports,4,4,5,18,51,587,4.82
Dusk Maiden of Amnesia,378,1772,"mystery,romance,supernatural",1,1,3,21,63,290,4.69
Accel World: Infinite Burst,3,10,sci-fi,0,0,0,2,1,0,3.33
Anifile,45,132,,21,21,0,1,7,16,2.93
Soul Buster,26,69,"action,adventure,fantasy,historical",7,7,7,5,2,5,2.65
"Kizuna AI 1st Live ""hello, world""",2,8,,0,0,0,1,0,1,4.0
Grimms Notes the Animation,29,72,"action,adventure,fantasy",12,12,3,7,2,5,2.48
Hagane Orchestra,5,22,"adventure,comedy",0,0,0,0,3,2,4.4
BAKUON!!,25,109,"comedy,slice of life",0,0,0,5,6,14,4.36
SPACE PATROL LULUCO,75,345,"comedy,action,sci-fi,fantasy,romance",0,0,1,4,19,51,4.6
100% Teacher Pascal,4,13,"comedy,slice of life",1,1,0,1,1,1,3.25
TSUKIPRO THE ANIMATION,8,30,"music,idols,slice of life",0,0,1,1,5,1,3.75
NAMUAMIDABUTSU! -UTENA-,5,15,"fantasy,adventure",1,1,1,1,1,1,3.0
KILL la KILL,682,3139,"action,adventure,shonen,comedy,sci-fi,drama,post-apocalyptic,mecha",17,17,23,21,92,529,4.6
Dancouga: Super Beast Machine God,2,8,"sci-fi,action,mecha",0,0,0,1,0,1,4.0
Ascendance of a Bookworm,117,553,"isekai,fantasy,adventure",2,2,3,3,9,100,4.73
GTO,34,157,comedy,1,1,1,1,4,27,4.62
Phi Brain,131,581,,4,4,5,11,21,90,4.44
GTO - The Animation,89,437,"comedy,drama,shonen,slice of life",1,1,0,1,2,85,4.91
Dagashi Kashi,30,126,"comedy,romance,slice of life",1,1,2,1,12,14,4.2
Naruto the Movie: Guardians of the Crescent Moon Kingdom,1,5,shonen,0,0,0,0,0,1,5.0
Showa Genroku Rakugo Shinju,106,520,"drama,historical,romance",0,0,0,2,6,98,4.91
A Dark Rabbit has Seven Lives,1130,5224,,24,24,25,49,157,875,4.62
Princess Knight,4,12,"shojo,adventure,action,drama,romance",1,1,1,0,1,1,3.0
Seton Academy: Join the Pack!,41,175,comedy,2,2,4,0,10,25,4.27
Lady Death,222,840,"supernatural,action",23,23,17,34,59,89,3.78
Saki,2367,11134,"sports,slice of life",29,29,19,80,368,1871,4.7
Death Note (Drama),90,379,,7,7,2,5,27,49,4.21
Ai-Mai-Mi Mousou Catastrophe,8,31,"comedy,slice of life",1,1,0,1,3,3,3.88
Galileo,9,43,,0,0,0,0,2,7,4.78
Gasaraki,2,5,"drama,sci-fi,supernatural,mecha",0,0,1,1,0,0,2.5
Cat's Eye,3,12,"action,romance,comedy,mystery",0,0,1,0,0,2,4.0
Web Ghosts PiPoPa,301,1383,"action,adventure,comedy,fantasy,supernatural",15,15,4,9,32,241,4.59
My Little Monster,524,2372,"romance,comedy,shojo",6,6,9,42,113,354,4.53
Crunchyroll Convention Highlights,0,0,,0,0,0,0,0,0,0.0
KAGUYA-SAMA: LOVE IS WAR,201,971,"comedy,romance,seinen",2,2,2,3,14,180,4.83
Switch Girl!!,24,99,comedy,2,2,2,0,7,13,4.12
Lostorage incited WIXOSS,20,66,"drama,thriller,sci-fi",2,2,6,2,4,6,3.3
Os Cavaleiros do Zodíaco - Alma de Ouro,59,246,"action,adventure,fantasy,shonen,drama",4,4,5,3,12,35,4.17
Hunter x Hunter,2240,10853,,21,21,13,51,122,2033,4.85
DARLING in the FRANXX,944,4098,"mecha,sci-fi,romance,action,drama",52,52,49,83,101,659,4.34
STRIKE THE BLOOD,241,943,"supernatural,action,fantasy,harem",13,13,23,46,49,110,3.91
makuranodanshi,59,194,,7,7,12,12,13,15,3.29
Angel Heart,8,39,action,0,0,0,0,1,7,4.88
BROTHERHOOD FINAL FANTASY XV,32,156,"action,fantasy,drama",0,0,0,1,2,29,4.88
Black Butler: Book of Circus,44,213,"action,supernatural,comedy,mystery",1,1,0,0,3,40,4.84
Da Capo III,10,43,"drama,romance,harem,comedy",0,0,0,2,3,5,4.3
Super Gals!,4,20,"comedy,shojo,slice of life",0,0,0,0,0,4,5.0
White Album 2,109,469,"music,slice of life,drama,romance,harem,idols",4,4,5,11,23,66,4.3
Iida Tokimeki Trip,2,8,,0,0,0,1,0,1,4.0
